date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-14,190,SD,9.0,182.0,3.0,,,,,,,,2020-03-14T20:00:00Z,,,194.0,191.0,191.0,46,0.0,0.0,109.0,0.0,109.0,,,,,,,,
2020-03-21,1761,SD,14.0,691.0,268.0,,,,,,,,2020-03-21T20:00:00Z,1.0,,973.0,705.0,705.0,46,0.0,0.0,28.0,0.0,28.0,,,,,,,,
2020-03-07,2032,TN,1.0,,,,,,,,,,2020-03-07T21:00:00Z,,,1.0,1.0,1.0,47,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,2702,TN,32.0,130.0,,,,,,,,,2020-03-14T20:00:00Z,,,162.0,162.0,162.0,47,0.0,0.0,14.0,6.0,20.0,,,,,,,,
2020-03-21,38077,TN,371.0,3272.0,,,,,,,,,2020-03-21T20:00:00Z,,,3643.0,3643.0,3643.0,47,0.0,0.0,2709.0,143.0,2852.0,,,,,,,,
2020-03-07,14355,TX,8.0,,,,,,,,,,2020-03-07T21:00:00Z,,,8.0,8.0,8.0,48,0.0,0.0,0.0,3.0,3.0,,,,,,,,
2020-03-14,16176,TX,51.0,,,,,,,,,,2020-03-14T20:00:00Z,,,51.0,51.0,51.0,48,0.0,0.0,0.0,12.0,12.0,,,,,,,,
2020-03-21,155426,TX,304.0,6218.0,,,,,,,,,2020-03-21T20:00:00Z,5.0,,6522.0,6522.0,6522.0,48,0.0,0.0,1135.0,110.0,1245.0,,,,,,,,
2020-03-07,1015,UT,1.0,,,,,,,,,,2020-03-07T21:00:00Z,,,1.0,1.0,1.0,49,,,,,,,,,,,,,
2020-03-14,1305,UT,6.0,131.0,,,,,,,,,2020-03-14T20:00:00Z,,,137.0,137.0,137.0,49,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-21,19690,UT,136.0,2424.0,,,,,,,,,2020-03-21T20:00:00Z,0.0,,2560.0,2560.0,2560.0,49,0.0,0.0,389.0,24.0,413.0,,,,,,,,
